page_number,segment_count,has_items,item_ids,standards,years,question_numbers
155,1,yes,g9_science_B.12A_2019_q38,B.12(A),2019,38
156,1,yes,g9_science_B.12B_2025_q12,B.12(B),2025,12
157,1,yes,g9_science_B.12B_2025_q33,B.12(B),2025,33
158,1,yes,g9_science_B.12B_2024_q8,B.12(B),2024,8
159,1,yes,g9_science_B.12B_2023_q18,B.12(B),2023,18
160,1,yes,g9_science_B.12B_2023_q39,B.12(B),2023,39
161,1,yes,g9_science_B.12B_2022_q7,B.12(B),2022,7
162,1,yes,g9_science_B.12B_2022_q19,B.12(B),2022,19
163,1,yes,g9_science_B.12B_2022_q47,B.12(B),2022,47
164,1,yes,g9_science_B.12B_2021_q24,B.12(B),2021,24
165,1,yes,g9_science_B.12B_2021_q46,B.12(B),2021,46
166,1,yes,g9_science_B.12B_2019_q18,B.12(B),2019,18
167,1,yes,g9_science_B.12B_2019_q35,B.12(B),2019,35
168,0,no,,,,
169,1,yes,g9_science_B.13A_2025_q35,B.13(A),2025,35
170,1,yes,g9_science_B.13A_2025_q40,B.13(A),2025,40
171,1,yes,g9_science_B.13A_2024_q26,B.13(A),2024,26
172,1,yes,g9_science_B.13A_2024_q38,B.13(A),2024,38
173,1,yes,g9_science_B.13A_2023_q30,B.13(A),2023,30
174,1,yes,g9_science_B.13A_2022_q15,B.13(A),2022,15
175,1,yes,g9_science_B.13A_2022_q38,B.13(A),2022,38
176,1,yes,g9_science_B.13A_2021_q21,B.13(A),2021,21
177,1,yes,g9_science_B.13A_2021_q38,B.13(A),2021,38
178,1,yes,g9_science_B.13A_2019_q32,B.13(A),2019,32
179,1,yes,g9_science_B.13A_2019_q44,B.13(A),2019,44
180,1,yes,g9_science_B.13B_2025_q18,B.13(B),2025,18
181,1,yes,g9_science_B.13B_2025_q30,B.13(B),2025,30
182,1,yes,g9_science_B.13B_2023_q3,B.13(B),2023,3
183,1,yes,g9_science_B.13B_2019_q20,B.13(B),2019,20
184,1,yes,g9_science_B.13C_2025_q10,B.13(C),2025,10
185,1,yes,g9_science_B.13C_2025_q15,B.13(C),2025,15
186,1,yes,g9_science_B.13C_2024_q11,B.13(C),2024,11
187,1,yes,g9_science_B.13C_2023_q25,B.13(C),2023,25
188,1,yes,g9_science_B.13C_2022_q24,B.13(C),2022,24
189,1,yes,g9_science_B.13C_2021_q32,B.13(C),2021,32
190,1,yes,g9_science_B.13C_2019_q4,B.13(C),2019,4
191,1,yes,g9_science_B.13D_2025_q4,B.13(D),2025,4
192,1,yes,g9_science_B.13D_2025_q25,B.13(D),2025,25
193,1,yes,g9_science_B.13D_2024_q14,B.13(D),2024,14
194,1,yes,g9_science_B.13D_2024_q40,B.13(D),2024,40
195,1,yes,g9_science_B.13D_2023_q8,B.13(D),2023,8
196,1,yes,g9_science_B.13D_2022_q4,B.13(D),2022,4
197,1,yes,g9_science_B.13D_2022_q46,B.13(D),2022,46
198,1,yes,g9_science_B.13D_2021_q10,B.13(D),2021,10
199,1,yes,g9_science_B.13D_2021_q28,B.13(D),2021,28
200,1,yes,g9_science_B.13D_2019_q11,B.13(D),2019,11
201,0,no,,,,
