page_number,segment_count,has_items,item_ids,standards,years,question_numbers
282,1,yes,g9_math_A.7C_2025_q12,A.7(C),2025,12
283,1,yes,g9_math_A.7C_2025_q39,A.7(C),2025,39
284,1,yes,g9_math_A.7C_2024_q21,A.7(C),2024,21
285,2,yes,g9_math_A.7C_2024_q29; g9_math_A.7C_2023_q38,A.7(C); A.7(C),2024; 2023,29; 38
286,2,yes,g9_math_A.7C_2022_q13; g9_math_A.7C_2022_q50,A.7(C); A.7(C),2022; 2022,13; 50
287,1,yes,g9_math_A.7C_2021_q28,A.7(C),2021,28
288,1,yes,g9_math_A.7C_2021_q52,A.7(C),2021,52
289,1,yes,g9_math_A.7C_2019_q12,A.7(C),2019,12
290,2,yes,g9_math_A.7C_2019_q33; g9_math_A.7C_2018_q14,A.7(C); A.7(C),2019; 2018,33; 14
291,2,yes,g9_math_A.7C_2018_q48; g9_math_A.7C_2017_q4,A.7(C); A.7(C),2018; 2017,48; 4
292,1,yes,g9_math_A.7C_2017_q24,A.7(C),2017,24
293,1,yes,g9_math_A.7C_2016_q4,A.7(C),2016,4
294,2,yes,g9_math_A.7C_2016_q24; g9_math_A.7C_2016_q41,A.7(C); A.7(C),2016; 2016,24; 41
295,0,no,,,,
296,2,yes,g9_math_A.8A_2025_q26; g9_math_A.8A_2025_q36,A.8(A); A.8(A),2025; 2025,26; 36
297,1,yes,g9_math_A.8A_2024_q18,A.8(A),2024,18
298,2,yes,g9_math_A.8A_2024_q31; g9_math_A.8A_2023_q41,A.8(A); A.8(A),2024; 2023,31; 41
299,2,yes,g9_math_A.8A_2022_q17; g9_math_A.8A_2022_q27,A.8(A); A.8(A),2022; 2022,17; 27
300,2,yes,g9_math_A.8A_2021_q23; g9_math_A.8A_2021_q37,A.8(A); A.8(A),2021; 2021,23; 37
301,2,yes,g9_math_A.8A_2019_q14; g9_math_A.8A_2019_q40,A.8(A); A.8(A),2019; 2019,14; 40
302,2,yes,g9_math_A.8A_2018_q22; g9_math_A.8A_2018_q41,A.8(A); A.8(A),2018; 2018,22; 41
303,2,yes,g9_math_A.8A_2017_q7; g9_math_A.8A_2017_q34,A.8(A); A.8(A),2017; 2017,7; 34
304,2,yes,g9_math_A.8A_2016_q22; g9_math_A.8A_2016_q29,A.8(A); A.8(A),2016; 2016,22; 29
305,1,yes,g9_math_A.8B_2023_q13,A.8(B),2023,13
306,1,yes,g9_math_A.8B_2022_q22,A.8(B),2022,22
307,1,yes,g9_math_A.8B_2021_q47,A.8(B),2021,47
308,1,yes,g9_math_A.8B_2019_q19,A.8(B),2019,19
309,1,yes,g9_math_A.8B_2017_q39,A.8(B),2017,39
310,1,yes,g9_math_A.12B_2025_q17,A.12(B),2025,17
311,2,yes,g9_math_A.12B_2024_q48; g9_math_A.12B_2021_q14,A.12(B); A.12(B),2024; 2021,48; 14
312,2,yes,g9_math_A.12B_2019_q8; g9_math_A.12B_2018_q20,A.12(B); A.12(B),2019; 2018,8; 20
313,1,yes,g9_math_A.12B_2017_q47,A.12(B),2017,47
314,0,no,,,,
315,1,yes,g9_math_A.9A_2024_q17,A.9(A),2024,17
316,2,yes,g9_math_A.9A_2023_q18; g9_math_A.9A_2021_q49,A.9(A); A.9(A),2023; 2021,18; 49
317,1,yes,g9_math_A.9A_2019_q41,A.9(A),2019,41
318,1,yes,g9_math_A.9A_2018_q23,A.9(A),2018,23
319,1,yes,g9_math_A.9A_2017_q21,A.9(A),2017,21
320,1,yes,g9_math_A.9A_2016_q21,A.9(A),2016,21
321,1,yes,g9_math_A.9B_2025_q49,A.9(B),2025,49
