page_number,segment_count,has_items,item_ids,standards,years,question_numbers
553,1,yes,g11_social-studies_US.9G_2021_q25,US.9(G),2021,25
554,1,yes,g11_social-studies_US.9G_2019_q5,US.9(G),2019,5
555,1,yes,g11_social-studies_US.9G_2017_q39,US.9(G),2017,39
556,1,yes,g11_social-studies_US.9G_2016_q15,US.9(G),2016,15
557,1,yes,g11_social-studies_US.9G_2015_q29,US.9(G),2015,29
558,1,yes,g11_social-studies_US.9G_2013_q8,US.9(G),2013,8
559,1,yes,g11_social-studies_US.9G_2013_q34,US.9(G),2013,34
560,1,yes,g11_social-studies_US.9H_2024_q5,US.9(H),2024,5
561,1,yes,g11_social-studies_US.17D_2023_q28,US.17(D),2023,28
562,1,yes,g11_social-studies_US.17D_2022_q6,US.17(D),2022,6
563,1,yes,g11_social-studies_US.17D_2016_q53,US.17(D),2016,53
564,1,yes,g11_social-studies_US.17D_2015_q3,US.17(D),2015,3
565,1,yes,g11_social-studies_US.17D_2014_q39,US.17(D),2014,39
566,1,yes,g11_social-studies_US.25A_2019_q27,US.25(A),2019,27
567,1,yes,g11_social-studies_US.9A_2022_q38,US.9(A),2022,38
568,2,yes,g11_social-studies_US.9A_2019_q12; g11_social-studies_US.9B_2021_q53,US.9(A); US.9(B),2019; 2021,12; 53
569,0,no,,,,
570,1,yes,g11_social-studies_US.19B_2022_q36,US.19(B),2022,36
571,1,yes,g11_social-studies_US.22A_2025_q49,US.22(A),2025,49
572,1,yes,g11_social-studies_US.22B_2022_q3,US.22(B),2022,3
573,1,yes,g11_social-studies_US.1B_2024_q8,US.1(B),2024,8
574,1,yes,g11_social-studies_US.9A_2017_q29,US.9(A),2017,29
575,1,yes,g11_social-studies_US.9A_2013_q50,US.9(A),2013,50
576,1,yes,g11_social-studies_US.9B_2023_q48,US.9(B),2023,48
577,2,yes,g11_social-studies_US.9H_2025_q34; g11_social-studies_US.9H_2023_q33,US.9(H); US.9(H),2025; 2023,34; 33
578,1,yes,g11_social-studies_US.9H_2014_q26,US.9(H),2014,26
579,1,yes,g11_social-studies_US.9J_2022_q45,US.9(J),2022,45
580,1,yes,g11_social-studies_US.9J_2021_q46,US.9(J),2021,46
581,1,yes,g11_social-studies_US.20A_2025_q21,US.20(A),2025,21
582,1,yes,g11_social-studies_US.20A_2025_q64,US.20(A),2025,64
583,1,yes,g11_social-studies_US.20A_2024_q47,US.20(A),2024,47
584,1,yes,g11_social-studies_US.20A_2023_q1,US.20(A),2023,1
585,2,yes,g11_social-studies_US.20A_2022_q10; g11_social-studies_US.20A_2021_q14,US.20(A); US.20(A),2022; 2021,10; 14
586,1,yes,g11_social-studies_US.20A_2019_q49,US.20(A),2019,49
587,1,yes,g11_social-studies_US.20A_2018_q36,US.20(A),2018,36
588,1,yes,g11_social-studies_US.20A_2016_q5,US.20(A),2016,5
589,1,yes,g11_social-studies_US.20A_2015_q37,US.20(A),2015,37
590,1,yes,g11_social-studies_US.20A_2014_q9,US.20(A),2014,9
591,1,yes,g11_social-studies_US.20A_2013_q45,US.20(A),2013,45
592,1,yes,g11_social-studies_US.22A_2024_q20,US.22(A),2024,20
593,1,yes,g11_social-studies_US.23A_2015_q51,US.23(A),2015,51
594,1,yes,g11_social-studies_US.25A_2024_q45,US.25(A),2024,45
595,0,no,,,,
596,1,yes,g11_social-studies_US.10E_2024_q34,US.10(E),2024,34
597,1,yes,g11_social-studies_US.10E_2023_q26,US.10(E),2023,26
598,1,yes,g11_social-studies_US.10E_2019_q1,US.10(E),2019,1
599,1,yes,g11_social-studies_US.10E_2018_q9,US.10(E),2018,9
600,1,yes,g11_social-studies_US.10E_2017_q2,US.10(E),2017,2
601,1,yes,g11_social-studies_US.14A_2016_q41,US.14(A),2016,41
602,1,yes,g11_social-studies_US.24C_2024_q30,US.24(C),2024,30
603,1,yes,g11_social-studies_US.24C_2017_q21,US.24(C),2017,21
604,1,yes,g11_social-studies_US.25C_2017_q66,US.25(C),2017,66
605,1,yes,g11_social-studies_US.10B_2025_q24,US.10(B),2025,24
606,1,yes,g11_social-studies_US.10B_2014_q52,US.10(B),2014,52
607,1,yes,g11_social-studies_US.10B_2013_q53,US.10(B),2013,53
608,1,yes,g11_social-studies_US.17E_2023_q15,US.17(E),2023,15
609,1,yes,g11_social-studies_US.17E_2021_q49,US.17(E),2021,49
610,1,yes,g11_social-studies_US.17E_2019_q60,US.17(E),2019,60
611,1,yes,g11_social-studies_US.17E_2018_q42,US.17(E),2018,42
612,1,yes,g11_social-studies_US.17E_2016_q68,US.17(E),2016,68
613,1,yes,g11_social-studies_US.17E_2014_q62,US.17(E),2014,62
614,1,yes,g11_social-studies_US.26A_2015_q5,US.26(A),2015,5
615,1,yes,g11_social-studies_US.26C_2017_q67,US.26(C),2017,67
616,1,yes,g11_social-studies_US.27A_2024_q55,US.27(A),2024,55
617,1,yes,g11_social-studies_US.27A_2021_q35,US.27(A),2021,35
618,1,yes,g11_social-studies_US.27A_2018_q45,US.27(A),2018,45
619,1,yes,g11_social-studies_US.27A_2017_q4,US.27(A),2017,4
620,1,yes,g11_social-studies_US.27A_2016_q48,US.27(A),2016,48
621,1,yes,g11_social-studies_US.27A_2015_q8,US.27(A),2015,8
622,1,yes,g11_social-studies_US.27A_2013_q49,US.27(A),2013,49
623,1,yes,g11_social-studies_US.10A_2025_q3,US.10(A),2025,3
624,1,yes,g11_social-studies_US.10A_2021_q11,US.10(A),2021,11
625,1,yes,g11_social-studies_US.10A_2017_q38,US.10(A),2017,38
626,1,yes,g11_social-studies_US.10A_2016_q63,US.10(A),2016,63
627,1,yes,g11_social-studies_US.10A_2014_q36,US.10(A),2014,36
628,1,yes,g11_social-studies_US.10C_2025_q18,US.10(C),2025,18
629,1,yes,g11_social-studies_US.10C_2023_q7,US.10(C),2023,7
630,1,yes,g11_social-studies_US.10C_2023_q55,US.10(C),2023,55
631,1,yes,g11_social-studies_US.10C_2022_q50,US.10(C),2022,50
632,1,yes,g11_social-studies_US.10C_2021_q31,US.10(C),2021,31
633,1,yes,g11_social-studies_US.10C_2019_q52,US.10(C),2019,52
634,1,yes,g11_social-studies_US.10C_2017_q55,US.10(C),2017,55
635,1,yes,g11_social-studies_US.10C_2016_q29,US.10(C),2016,29
636,1,yes,g11_social-studies_US.10C_2015_q44,US.10(C),2015,44
637,1,yes,g11_social-studies_US.10C_2014_q56,US.10(C),2014,56
638,1,yes,g11_social-studies_US.10C_2013_q36,US.10(C),2013,36
639,1,yes,g11_social-studies_US.11A_2018_q41,US.11(A),2018,41
640,1,yes,g11_social-studies_US.10D_2025_q10,US.10(D),2025,10
641,1,yes,g11_social-studies_US.10D_2023_q52,US.10(D),2023,52
642,1,yes,g11_social-studies_US.10D_2013_q29,US.10(D),2013,29
643,1,yes,g11_social-studies_US.11B_2024_q9,US.11(B),2024,9
644,1,yes,g11_social-studies_US.14B_2025_q27,US.14(B),2025,27
645,1,yes,g11_social-studies_US.14B_2024_q28,US.14(B),2024,28
646,2,yes,g11_social-studies_US.14B_2022_q2; g11_social-studies_US.14B_2021_q2,US.14(B); US.14(B),2022; 2021,2; 2
647,1,yes,g11_social-studies_US.14B_2016_q7,US.14(B),2016,7
648,1,yes,g11_social-studies_US.17D_2024_q46,US.17(D),2024,46
649,1,yes,g11_social-studies_US.17D_2018_q61,US.17(D),2018,61
650,1,yes,g11_social-studies_US.18C_2022_q53,US.18(C),2022,53
651,1,yes,g11_social-studies_US.18C_2019_q25,US.18(C),2019,25
652,1,yes,g11_social-studies_US.18C_2018_q51,US.18(C),2018,51
653,1,yes,g11_social-studies_US.18C_2017_q53,US.18(C),2017,53
654,1,yes,g11_social-studies_US.18C_2013_q67,US.18(C),2013,67
655,1,yes,g11_social-studies_US.18D_2015_q17,US.18(D),2015,17
656,1,yes,g11_social-studies_US.19B_2025_q38,US.19(B),2025,38
657,1,yes,g11_social-studies_US.23A_2025_q12,US.23(A),2025,12
658,1,yes,g11_social-studies_US.23A_2016_q13,US.23(A),2016,13
659,1,yes,g11_social-studies_US.23A_2014_q12,US.23(A),2014,12
660,1,yes,g11_social-studies_US.25D_2024_q42,US.25(D),2024,42
661,0,no,,,,
662,1,yes,g11_social-studies_US.11A_2025_q17,US.11(A),2025,17
663,1,yes,g11_social-studies_US.11A_2024_q50,US.11(A),2024,50
664,1,yes,g11_social-studies_US.11A_2023_q29,US.11(A),2023,29
665,1,yes,g11_social-studies_US.11A_2022_q23,US.11(A),2022,23
666,2,yes,g11_social-studies_US.11A_2021_q19; g11_social-studies_US.11A_2019_q37,US.11(A); US.11(A),2021; 2019,19; 37
667,1,yes,g11_social-studies_US.11A_2018_q52,US.11(A),2018,52
668,1,yes,g11_social-studies_US.11A_2017_q10,US.11(A),2017,10
669,1,yes,g11_social-studies_US.11A_2016_q4,US.11(A),2016,4
670,1,yes,g11_social-studies_US.11A_2015_q12,US.11(A),2015,12
671,1,yes,g11_social-studies_US.11A_2014_q53,US.11(A),2014,53
672,1,yes,g11_social-studies_US.11A_2013_q68,US.11(A),2013,68
673,1,yes,g11_social-studies_US.11D_2016_q56,US.11(D),2016,56
674,1,yes,g11_social-studies_US.11D_2015_q48,US.11(D),2015,48
675,1,yes,g11_social-studies_US.12A_2023_q10,US.12(A),2023,10
676,2,yes,g11_social-studies_US.12A_2022_q28; g11_social-studies_US.12A_2021_q23,US.12(A); US.12(A),2022; 2021,28; 23
677,1,yes,g11_social-studies_US.13A_2021_q26,US.13(A),2021,26
678,1,yes,g11_social-studies_US.13A_2016_q26,US.13(A),2016,26
679,1,yes,g11_social-studies_US.13A_2013_q15,US.13(A),2013,15
680,1,yes,g11_social-studies_US.13B_2023_q20,US.13(B),2023,20
681,1,yes,g11_social-studies_US.13B_2019_q59,US.13(B),2019,59
682,1,yes,g11_social-studies_US.14A_2024_q3,US.14(A),2024,3
683,2,yes,g11_social-studies_US.14A_2023_q63; g11_social-studies_US.14A_2021_q12,US.14(A); US.14(A),2023; 2021,63; 12
684,1,yes,g11_social-studies_US.14A_2019_q35,US.14(A),2019,35
685,1,yes,g11_social-studies_US.14A_2018_q19,US.14(A),2018,19
686,1,yes,g11_social-studies_US.14A_2017_q15,US.14(A),2017,15
687,1,yes,g11_social-studies_US.14A_2013_q11,US.14(A),2013,11
688,1,yes,g11_social-studies_US.24C_2025_q31,US.24(C),2025,31
689,1,yes,g11_social-studies_US.24C_2023_q19,US.24(C),2023,19
690,1,yes,g11_social-studies_US.24C_2022_q64,US.24(C),2022,64
691,1,yes,g11_social-studies_US.24C_2021_q33,US.24(C),2021,33
692,1,yes,g11_social-studies_US.24C_2016_q54,US.24(C),2016,54
693,1,yes,g11_social-studies_US.24C_2015_q68,US.24(C),2015,68
694,2,yes,g11_social-studies_US.24C_2014_q7; g11_social-studies_US.24C_2014_q14,US.24(C); US.24(C),2014; 2014,7; 14
695,0,no,,,,
696,1,yes,g11_social-studies_US.25C_2023_q44,US.25(C),2023,44
697,1,yes,g11_social-studies_US.25C_2022_q29,US.25(C),2022,29
698,1,yes,g11_social-studies_US.25C_2018_q63,US.25(C),2018,63
699,1,yes,g11_social-studies_US.25C_2015_q59,US.25(C),2015,59
700,1,yes,g11_social-studies_US.1C_2025_q53,US.1(C),2025,53
701,1,yes,g11_social-studies_US.2B_2022_q1,US.2(B),2022,1
702,1,yes,g11_social-studies_US.2B_2017_q5,US.2(B),2017,5
703,1,yes,g11_social-studies_US.2B_2015_q24,US.2(B),2015,24
704,1,yes,g11_social-studies_US.10D_2019_q61,US.10(D),2019,61
705,1,yes,g11_social-studies_US.11B_2021_q68,US.11(B),2021,68
706,1,yes,g11_social-studies_US.11B_2019_q21,US.11(B),2019,21
707,1,yes,g11_social-studies_US.11C_2025_q39,US.11(C),2025,39
708,1,yes,g11_social-studies_US.11C_2024_q51,US.11(C),2024,51
709,2,yes,g11_social-studies_US.11C_2023_q4; g11_social-studies_US.11C_2014_q30,US.11(C); US.11(C),2023; 2014,4; 30
710,1,yes,g11_social-studies_US.11C_2013_q13,US.11(C),2013,13
711,1,yes,g11_social-studies_US.12A_2017_q43,US.12(A),2017,43
712,1,yes,g11_social-studies_US.12A_2016_q16,US.12(A),2016,16
713,1,yes,g11_social-studies_US.12A_2014_q1,US.12(A),2014,1
714,1,yes,g11_social-studies_US.18B_2022_q12,US.18(B),2022,12
715,1,yes,g11_social-studies_US.18C_2025_q54,US.18(C),2025,54
716,1,yes,g11_social-studies_US.18C_2023_q41,US.18(C),2023,41
717,1,yes,g11_social-studies_US.18C_2014_q55,US.18(C),2014,55
718,1,yes,g11_social-studies_US.18D_2021_q38,US.18(D),2021,38
719,1,yes,g11_social-studies_US.18D_2016_q39,US.18(D),2016,39
720,1,yes,g11_social-studies_US.18D_2014_q2,US.18(D),2014,2
721,1,yes,g11_social-studies_US.18D_2013_q46,US.18(D),2013,46
722,1,yes,g11_social-studies_US.19B_2018_q25,US.19(B),2018,25
723,1,yes,g11_social-studies_US.19B_2017_q52,US.19(B),2017,52
724,1,yes,g11_social-studies_US.19B_2016_q22,US.19(B),2016,22
725,1,yes,g11_social-studies_US.19B_2014_q24,US.19(B),2014,24
726,1,yes,g11_social-studies_US.22C_2016_q65,US.22(C),2016,65
727,1,yes,g11_social-studies_US.23A_2019_q11,US.23(A),2019,11
728,1,yes,g11_social-studies_US.23A_2018_q34,US.23(A),2018,34
729,1,yes,g11_social-studies_US.2A_2021_q1,US.2(A),2021,1
730,1,yes,g11_social-studies_US.11D_2024_q63,US.11(D),2024,63
731,1,yes,g11_social-studies_US.11D_2021_q59,US.11(D),2021,59
732,1,yes,g11_social-studies_US.11D_2017_q64,US.11(D),2017,64
733,1,yes,g11_social-studies_US.11D_2016_q67,US.11(D),2016,67
734,1,yes,g11_social-studies_US.11D_2014_q60,US.11(D),2014,60
735,1,yes,g11_social-studies_US.13B_2014_q50,US.13(B),2014,50
736,1,yes,g11_social-studies_US.14B_2014_q4,US.14(B),2014,4
737,1,yes,g11_social-studies_US.17E_2025_q16,US.17(E),2025,16
738,1,yes,g11_social-studies_US.17E_2024_q60,US.17(E),2024,60
739,1,yes,g11_social-studies_US.17E_2022_q37,US.17(E),2022,37
740,1,yes,g11_social-studies_US.17E_2017_q44,US.17(E),2017,44
741,1,yes,g11_social-studies_US.17E_2015_q14,US.17(E),2015,14
742,1,yes,g11_social-studies_US.17E_2013_q43,US.17(E),2013,43
